transaction_date;product;price;payment_Type;name;city;state;country;account_created;last_login
01/10/2009 12:57;Product1;1162;Amex;Vanessa;Sandy Springs;GA;United States;02/07/2007 20:16;01/10/2009 14:09
01/10/2009 14:43;Product1;1186;Diners;Anupam;Kinsaley;Dublin;Ireland;01/09/2009 11:38;01/10/2009 14:37
01/10/2009 12:05;Product1;1160;Visa;Karina;Fort Lauderdale;FL;United States;07/01/2008 12:53;01/10/2009 16:33
01/06/2009 01:20;Product1;1197;Mastercard;Frank;Melbourne;Victoria;Australia;01/02/2009 17:51;01/10/2009 18:27
01/10/2009 14:56;Product1;1143;Visa;Angela;Ankeny;IA;United States;01/08/2009 03:06;01/10/2009 19:41
01/07/2009 10:01;Product1;1399;Visa;Darren;Pittsboro;NC;United States;01/07/2009 09:04;01/10/2009 20:02
01/01/2009 01:26;Product1;1268;Mastercard;Nikki;New Rochelle;NY;United States;01/01/2009 00:58;01/10/2009 21:31
01/11/2009 02:04;Product1;1226;Visa;chris;Gold Coast;Queensland;Australia;01/11/2009 00:33;01/11/2009 02:11
01/11/2009 14:17;Product1;1183;Visa;Stephanie;Brussels;Brussels (Bruxelles);Belgium;01/11/2009 13:39;01/11/2009 13:39
01/10/2009 21:38;Product1;1391;Visa;Anushka;Maple Ridge District Municipality;British Columbia;Canada;01/10/2009 21:17;01/11/2009 19:32
01/07/2009 06:18;Product1;1106;Mastercard;June;Beachwood;OH;United States;2/23/06 11:56;01/11/2009 19:35
01/04/2009 08:39;Product2;1724;Diners;Baybars;Prince Albert;Saskatchewan;Canada;01/03/2009 17:17;01/11/2009 21:05
01/05/2009 00:31;Product1;1242;Mastercard;Bonnie;Saltsjobaden;Stockholm;Sweden;01/04/2009 23:45;01/12/2009 00:37
01/02/2009 06:07;Product1;1367;Visa;Cindy;Kemble;England;United Kingdom;12/30/08 10:21;01/12/2009 02:24
01/12/2009 03:25;Product1;1354;Mastercard;chrissy;W Lebanon;NH;United States;01/12/2009 03:12;01/12/2009 03:22
01/04/2009 13:56;Product1;1225;Mastercard;Tamar;Headley;England;United Kingdom;11/29/07 9:23;01/12/2009 05:38
01/07/2009 00:12;Product2;1671;Mastercard;Deirdre;Lausanne;Vaud;Switzerland;12/01/2008 06:25;01/12/2009 06:55
01/12/2009 05:18;Product1;1193;Mastercard;Bernadett;Southampton;England;United Kingdom;01/12/2009 04:45;01/12/2009 08:08
01/08/2009 15:16;Product1;1361;Visa;Dottie;Woodsboro;MD;United States;01/08/2009 14:56;01/12/2009 09:29
01/11/2009 11:33;Product1;1264;Visa;Stefan;Stavanger;Rogaland;Norway;01/11/2009 09:02;01/12/2009 10:37
01/07/2009 20:22;Product1;1123;Visa;Gina;Red Deer;Alberta;Canada;11/23/08 19:30;01/12/2009 12:24
01/02/2009 22:00;Product1;1199;Diners;Lynne;Memphis;TN;United States;01/02/2009 21:04;01/12/2009 13:18
01/05/2009 13:52;Product1;1326;Mastercard;Tammy;Morges;Vaud;Switzerland;01/05/2009 05:55;01/12/2009 14:04
01/08/2009 20:32;Product1;1336;Visa;Kim;Calgary;Alberta;Canada;01/08/2009 20:21;01/12/2009 14:07
01/08/2009 13:34;Product1;1357;Visa;Bruce;Belleville;Ontario;Canada;01/06/2009 14:38;01/12/2009 18:31
01/11/2009 13:08;Product1;1307;Visa;Rosa Maria;Cincinnati;OH;United States;01/11/2009 12:38;01/12/2009 18:44
01/12/2009 19:04;Product1;1225;Visa;Lydia;Comox;British Columbia;Canada;9/20/08 20:53;01/12/2009 19:01
01/12/2009 13:41;Product1;1375;Visa;Eric;Gasperich;Luxembourg;Luxembourg;01/12/2009 13:16;1/13/09 1:03
01/11/2009 10:38;Product1;1322;Mastercard;AnaPaula;Helens Bay;Northern Ireland;United Kingdom;09/04/2008 09:26;1/13/09 2:36
1/13/09 5:57;Product1;1343;Visa;Robin;Milan;Lombardy;Italy;10/15/08 5:31;1/13/09 5:55
1/13/09 6:13;Product1;1354;Visa;Gitte;Staten Island;NY;United States;1/13/09 5:17;1/13/09 7:33
01/08/2009 13:14;Product1;1280;Visa;Dr. Claudia;Oslo;Oslo;Norway;01/08/2009 12:47;1/13/09 10:49
01/02/2009 11:41;Product1;1189;Visa;Crystal;Farmington;Michigan;United States;01/01/2009 12:00;1/13/09 18:34
01/07/2009 19:50;Product1;1116;Diners;Delphine;Santa Monica;CA;United States;01/03/2009 12:04;1/13/09 20:17
01/01/2009 20:28;Product1;1397;Visa;nathalie;Calgary;Alberta;Canada;01/01/2009 20:11;1/13/09 21:11
01/03/2009 15:22;Product1;1229;Mastercard;Lindi;Vancouver;British Columbia;Canada;2/20/08 22:45;1/13/09 23:02
01/12/2009 03:03;Product2;1871;Mastercard;Valda;Irvine;CA;United States;01/12/2009 02:48;1/14/09 1:07
01/05/2009 08:58;Product2;1922;Mastercard;Marcia;Telgte;Nordrhein-Westfalen;Germany;09/01/2008 03:39;1/14/09 2:07
01/10/2009 14:03;Product1;1373;Mastercard;Kevin;Cheltenham;England;United Kingdom;3/13/06 4:56;1/14/09 2:22
1/13/09 11:26;Product1;1328;Visa;Clare;Keller;VA;United States;1/13/09 11:15;1/14/09 2:39
01/02/2009 12:18;Product1;1275;Visa;Alice;Nakskov;Storstrom;Denmark;12/05/2007 11:37;1/14/09 4:05
1/14/09 4:54;Product1;1165;Mastercard;ZENA;Honolulu;HI;United States;1/14/09 4:34;1/14/09 4:43
01/06/2009 17:15;Product1;1182;Visa;Andrea;Bubuieci;Chisinau;Moldova;12/24/08 17:31;1/14/09 10:27
01/03/2009 13:56;Product1;1167;Visa;Rennae;Amelia Island;FL;United States;01/03/2009 12:30;1/14/09 13:03
01/04/2009 07:54;Product1;1197;Visa;Gerhard;Alliston;Ontario;Canada;10/21/05 21:49;1/14/09 13:06
01/12/2009 07:28;Product1;1119;Amex;Megan;La Alberca;Murcia;Spain;12/10/2008 16:41;1/14/09 13:44
01/06/2009 15:15;Product1;1181;Mastercard;Danielle;Rathgar;Dublin;Ireland;01/06/2009 14:59;1/14/09 14:33
1/13/09 23:56;Product1;1193;Mastercard;Tod;Coral Gables;FL;United States;1/13/09 23:13;1/14/09 15:17
1/14/09 19:32;Product1;1127;Visa;Janaina;Miami;FL;United States;12/16/08 22:19;1/14/09 19:28
01/06/2009 21:13;Product1;1381;Visa;Kofi;Vancouver;British Columbia;Canada;01/07/2008 21:16;1/14/09 20:50
1/14/09 11:19;Product1;1297;Visa;Jennifer;Jumeira;Dubayy;United Arab Emirates;1/14/09 10:44;1/14/09 21:26
1/13/09 19:39;Product1;1255;Visa;Jolene;Englewood;CO;United States;01/06/2009 22:00;1/14/09 22:02
01/08/2009 07:26;Product1;1103;Mastercard;anne;Bournemouth;England;United Kingdom;1/25/08 15:46;1/15/09 1:36
1/15/09 2:40;Product1;1392;Mastercard;Alexis;Genoa;IL;United States;1/15/09 2:04;1/15/09 2:04
01/12/2009 06:40;Product1;1132;Visa;Dez;Al 'Adliyah;Al Manamah;Bahrain;01/10/2009 12:50;1/15/09 4:46
1/15/09 3:43;Product1;1277;Visa;Stephanie;Rouen;Upper Normandy;France;12/26/08 9:01;1/15/09 5:39
01/05/2009 15:39;Product1;1342;Visa;Melissa;Parkland;FL;United States;12/10/2008 09:14;1/15/09 6:01
01/10/2009 05:21;Product1;1182;Amex;CLARE;San Francisco;CA;United States;01/10/2009 00:07;1/15/09 6:25
1/15/09 4:12;Product1;1260;Mastercard;catherine;Keller;VA;United States;1/15/09 4:02;1/15/09 6:59
01/12/2009 11:48;Product1;1203;Visa;Veronique;Tsawwassen;British Columbia;Canada;7/24/08 15:48;1/15/09 8:56
01/06/2009 10:48;Product1;1297;Mastercard;Bruce and Camille;Clinton;NJ;United States;8/21/07 21:19;1/15/09 9:32
1/14/09 9:10;Product1;1387;Mastercard;Ellen;Owensboro;KY;United States;1/14/09 8:25;1/15/09 9:40
1/14/09 22:44;Product1;1237;Visa;Amy;Lakewood Village;TX;United States;1/14/09 22:21;1/15/09 9:50
01/06/2009 07:23;Product1;1249;Visa;Anna;Okotoks;Alberta;Canada;7/21/08 12:03;1/15/09 10:00
01/01/2009 05:04;Product1;1395;Mastercard;Regina;Glimmen;Groningen;Netherlands;12/16/02 4:09;1/15/09 10:50
1/15/09 11:56;Product1;1118;Visa;Heidi;Calgary;Alberta;Canada;1/14/09 9:16;1/15/09 11:39
1/15/09 11:58;Product1;1182;Visa;Jessica;Kanata;Ontario;Canada;1/14/09 5:59;1/15/09 11:49
01/12/2009 09:43;Product1;1185;Diners;Petra;Bergen;Nordrhein-Westfalen;Germany;01/07/2009 08:39;1/15/09 12:14
1/15/09 12:33;Product1;1293;Visa;Brian;College Park;MD;United States;1/15/09 12:19;1/15/09 13:28
1/14/09 11:35;Product1;1357;Visa;Kenny;Kailua Kona;HI;United States;1/13/09 17:42;1/15/09 15:31
1/14/09 15:40;Product1;1140;Amex;ayse;Redondo Beach;CA;United States;1/13/09 19:37;1/15/09 15:45
01/03/2009 11:08;Product1;1281;Amex;Maria and Timothy;Fountain Hls;AZ;United States;06/05/2006 22:42;1/15/09 16:37
01/12/2009 01:37;Product1;1100;Visa;IMAN;Brisbane;Queensland;Australia;01/12/2009 01:26;1/15/09 17:54
1/16/09 7:21;Product1;1215;Mastercard;Gerald;Mahopac;NY;United States;11/03/2008 14:28;1/16/09 6:08
1/15/09 12:54;Product1;1275;Mastercard;Annelies;Ile-Perrot;Quebec;Canada;1/15/09 12:22;1/16/09 7:53
01/07/2009 07:19;Product1;1394;Amex;Jocelyn;Bruxelles;Brussels (Bruxelles);Belgium;6/30/08 9:33;1/16/09 8:54
01/03/2009 09:56;Product1;1201;Visa;Kara;Chicago;IL;United States;12/31/08 16:26;1/16/09 13:43
1/16/09 17:41;Product1;1386;Visa;Orsi;Rayford;TX;United States;1/16/09 17:01;1/16/09 17:56
01/05/2009 05:33;Product1;1361;Visa;Ben;Escondido;CA;United States;01/05/2009 03:19;1/17/09 0:35
01/02/2009 00:50;Product1;1280;Visa;Sam;Tesvikiye;Istanbul;Turkey;01/02/2009 00:10;1/17/09 1:57
1/13/09 1:51;Product1;1327;Visa;Filip and Teresa;Centurion;Gauteng;South Africa;01/12/2009 01:40;1/17/09 2:23
1/15/09 10:24;Product1;1138;Visa;Grace;York;England;United Kingdom;1/13/09 12:30;1/17/09 4:42
01/11/2009 08:59;Product1;1114;Visa;Chelsey;Ashburn;VA;United States;11/09/2008 05:53;1/17/09 8:54
1/15/09 15:56;Product1;1385;Amex;Charis;Los Angeles;CA;United States;11/11/2005 11:49;1/17/09 10:54
01/01/2009 12:19;Product1;1206;Visa;Marlene;Edgewood;WA;United States;1/16/06 14:45;1/17/09 11:38
01/06/2009 14:03;Product1;1247;Visa;Fie;New York;NY;United States;05/01/2008 08:26;1/17/09 11:44
01/09/2009 15:32;Product1;1362;Diners;Nicole;Basingstoke;England;United Kingdom;01/07/2009 12:31;1/17/09 12:03
1/17/09 12:59;Product1;1114;Diners;Linda;Den Haag;Zuid-Holland;Netherlands;10/29/08 13:09;1/17/09 13:07
01/12/2009 12:37;Product1;1368;Visa;Janet;Marietta;GA;United States;9/13/07 14:20;1/17/09 16:17
01/04/2009 07:43;Product1;1203;Mastercard;Jamie;Houston;TX;United States;01/04/2009 06:51;1/17/09 17:31
1/17/09 16:22;Product1;1187;Visa;Chad;West Orange;NJ;United States;1/17/09 15:22;1/17/09 18:42
01/01/2009 03:51;Product1;1387;Mastercard;sunny;Amsterdam;Noord-Holland;Netherlands;9/14/05 22:53;1/17/09 22:34
1/18/09 5:27;Product1;1190;Visa;Anna;Downey;CA;United States;1/18/09 4:28;1/18/09 4:42
1/18/09 5:15;Product1;1232;Diners;Roger;Urlingford;Kilkenny;Ireland;1/18/09 4:44;1/18/09 4:44
01/01/2009 01:51;Product1;1219;Mastercard;Si;Holte;Kobenhavn;Denmark;12/14/05 15:46;1/18/09 4:44
1/18/09 6:30;Product1;1307;Visa;Sherri;Freienbach;Schwyz;Switzerland;6/22/08 14:10;1/18/09 6:21
01/11/2009 10:51;Product1;1370;Mastercard;Katherine;Hofheim am Taunus;Hessen;Germany;12/06/2008 01:34;1/18/09 7:17
01/04/2009 17:02;Product1;1287;Mastercard;Clare;Lafayette;CA;United States;12/31/05 0:55;1/18/09 8:43
1/17/09 1:23;Product1;1263;Amex;Campbell;Mushrif;;Kuwait;1/16/09 14:26;1/18/09 9:08
1/18/09 2:16;Product1;1140;Visa;Ruth;Nashville;AR;United States;1/16/09 19:32;1/18/09 9:13
1/18/09 11:34;Product2;1666;Visa;Cheryl;New Malden;England;United Kingdom;10/28/05 14:57;1/18/09 10:27
1/18/09 4:38;Product1;1266;Visa;Doug;Bishop Auckland;England;United Kingdom;12/28/07 13:39;1/18/09 11:58
1/18/09 13:26;Product3;2671;Mastercard;Julianne;Navan;Meath;Ireland;1/18/09 12:20;1/18/09 12:20
1/18/09 11:53;Product1;1143;Visa;Shailesh;Joppa;MD;United States;1/18/09 0:00;1/18/09 12:23
1/18/09 12:04;Product1;1259;Visa;Conrad;Joppa;MD;United States;1/18/09 0:00;1/18/09 12:23
1/13/09 19:54;Product1;1394;Diners;Alison;Hampton;NJ;United States;01/03/2006 06:09;1/18/09 12:51
01/05/2009 21:06;Product1;1207;Mastercard;Tracy;Louisville;KY;United States;01/05/2009 16:27;1/18/09 13:58
1/14/09 6:32;Product1;1259;Visa;Kate;Broadlands;VA;United States;04/12/2006 06:14;1/18/09 14:04
01/04/2009 23:48;Product1;1109;Diners;Sarka;Yellowknife;Northwest Territories;Canada;01/04/2009 22:41;1/18/09 16:17
1/18/09 16:32;Product2;2000;Visa;Therese;Los Angeles;CA;United States;1/18/09 16:23;1/18/09 16:54
1/18/09 17:04;Product2;1510;Visa;Abdul-L;New York;NY;United States;1/18/09 16:58;1/18/09 16:58
1/18/09 17:20;Product2;1936;Visa;heidi;Saint Paul;MN;United States;1/18/09 17:16;1/18/09 17:16
1/18/09 17:39;Product2;1842;Visa;jiyoung;New York;NY;United States;1/18/09 17:34;1/18/09 17:34
01/11/2009 11:20;Product1;1390;Visa;Klara;Spring Lake Park;MN;United States;12/31/08 19:48;1/18/09 17:43
1/13/09 20:59;Product1;1386;Mastercard;Andrew;Winnipeg;Manitoba;Canada;1/13/09 16:44;1/18/09 19:17
01/12/2009 16:50;Product1;1160;Visa;Vicki and Bill;Seattle;WA;United States;01/04/2009 21:33;1/19/09 1:22
01/12/2009 15:12;Product1;1107;Mastercard;David;Deptford;NJ;United States;01/12/2009 14:07;1/19/09 3:47
01/06/2009 12:27;Product1;1234;Mastercard;Antonella;Amsterdam;Noord-Holland;Netherlands;01/06/2009 12:04;1/19/09 4:59
01/09/2009 18:52;Product1;1230;Visa;David;Alpharetta;GA;United States;11/25/08 7:56;1/19/09 6:12
1/18/09 23:17;Product1;1259;Visa;Greg;Washington;DC;United States;1/18/09 15:18;1/19/09 6:13
01/07/2009 08:21;Product1;1301;Visa;Jannik;Holmenkollen;Oslo;Norway;01/03/2009 11:06;1/19/09 6:54
01/03/2009 09:54;Product1;1289;Visa;Sylvia;Zekeriyakoy;Istanbul;Turkey;12/29/08 10:38;1/19/09 7:37
01/05/2009 19:37;Product1;1369;Amex;Bernadette;Washington;DC;United States;11/07/2007 09:49;1/19/09 7:42
01/04/2009 12:49;Product1;1112;Diners;Denise;Montreal;Quebec;Canada;5/25/07 10:58;1/19/09 7:58
01/08/2009 11:55;Product2;1587;Visa;Caren;Braunschweig;Lower Saxony;Germany;01/03/2009 12:39;1/19/09 8:31
1/14/09 18:21;Product1;1277;Visa;luciana;Athens;GA;United States;9/25/05 6:25;1/19/09 11:21
01/11/2009 19:01;Product1;1335;Diners;Maja;Hoschton;GA;United States;01/11/2009 18:17;1/19/09 12:47
1/14/09 5:20;Product2;1588;Visa;Kristen;Binningen;Basel-Country;Switzerland;01/12/2009 13:31;1/19/09 13:07
1/15/09 8:07;Product1;1352;Visa;Kirstie;Royal Oak;MI;United States;12/13/08 19:35;1/19/09 14:59
1/15/09 8:10;Product1;1398;Visa;Scott;Royal Oak;MI;United States;12/13/08 19:35;1/19/09 14:59
01/02/2009 17:45;Product1;1273;Mastercard;Jammie;Belmont;MA;United States;12/09/2005 17:19;1/19/09 15:36
1/19/09 16:10;Product1;1255;Mastercard;Frank;Old Greenwich;CT;United States;1/19/09 15:31;1/19/09 16:00
1/19/09 16:55;Product1;1331;Mastercard;scott;Coconut Grove;FL;United States;1/19/09 16:18;1/19/09 16:18
01/10/2009 17:41;Product1;1310;Visa;Jiri;Vienna;VA;United States;01/10/2009 16:32;1/19/09 17:52
1/18/09 13:49;Product2;1521;Visa;Bev;San Ramon;CA;United States;01/11/2009 12:00;1/19/09 18:07
1/15/09 5:47;Product1;1114;Visa;Dave and Amy;Norfolk;VA;United States;1/15/09 0:21;1/19/09 22:48
1/19/09 23:06;Product1;1302;Mastercard;Rebecca;Norfolk;VA;United States;1/19/09 22:53;1/19/09 22:53
1/19/09 11:12;Product1;1146;Visa;Melissa;Aberdeen;Scotland;United Kingdom;8/27/08 8:22;1/20/09 0:35
01/04/2009 01:38;Product1;1106;Amex;jeremy;Charlestown;New South Wales;Australia;7/15/08 21:04;1/20/09 1:08
1/20/09 3:11;Product1;1192;Visa;Randy;Wigan;England;United Kingdom;1/20/09 3:02;1/20/09 3:06
01/03/2009 10:52;Product1;1207;Visa;Djeiny;Rockville;MD;United States;4/18/05 9:27;1/20/09 6:47
1/20/09 5:24;Product3;3100;Mastercard;Amanda;Shreveport;LA;United States;1/20/09 5:13;1/20/09 7:15
1/20/09 6:03;Product1;1193;Mastercard;Andrea;Shreveport;LA;United States;1/20/09 5:13;1/20/09 7:15
01/10/2009 11:37;Product1;1200;Amex;Joanna;Little Silver;NJ;United States;12/28/08 20:10;1/20/09 7:42
1/20/09 5:50;Product1;1356;Visa;Jessica;Abbey Town;England;United Kingdom;1/20/09 4:23;1/20/09 7:46
1/19/09 16:32;Product1;1152;Amex;alison;Mid City West;PA;United States;1/19/09 10:24;1/20/09 10:09
1/18/09 10:42;Product1;1219;Visa;malin;Atlanta;Georgia;United States;1/18/09 0:00;1/20/09 11:09
01/07/2009 06:11;Product2;1995;Visa;Tiffany;Paris;Ile-de-France;France;01/07/2009 05:30;1/20/09 11:22
01/03/2009 08:29;Product1;1153;Visa;Genevieve;Milton Keynes;England;United Kingdom;10/10/2008 01:26;1/20/09 11:31
01/01/2009 02:09;Product1;1312;Mastercard;Saraya;Dresden;Saxony;Germany;03/12/2006 11:31;1/20/09 11:56
1/20/09 12:34;Product1;1323;Mastercard;Anastasia;NYC;NY;United States;1/20/09 12:17;1/20/09 12:55
1/20/09 3:51;Product1;1232;Visa;Elizabeth;The Grange;Queensland;Australia;11/12/2008 03:34;1/20/09 13:11
1/15/09 11:26;Product1;1347;Visa;Nicole;Brookline;MA;United States;07/11/2007 11:18;1/20/09 14:01
01/05/2009 16:55;Product1;1203;Visa;Jeffrey;Montreal-Nord;Quebec;Canada;9/29/03 17:08;1/20/09 14:38
01/12/2009 19:47;Product1;1229;Mastercard;Blanca Gabriela;Irving;TX;United States;12/10/2008 21:49;1/20/09 18:02
01/04/2009 19:20;Product1;1178;Amex;Elisa;Ottawa Hills;OH;United States;01/04/2009 18:38;1/20/09 18:03
01/10/2009 08:33;Product2;1844;Mastercard;Patricia;Portola Valley;CA;United States;02/04/2007 10:09;1/20/09 22:06
01/09/2009 14:51;Product1;1217;Visa;Bob;Sydney;New South Wales;Australia;01/07/2009 18:15;1/21/09 0:29
1/16/09 2:41;Product3;2911;Visa;Kristyn;Kearns;UT;United States;1/15/09 18:01;1/21/09 1:02
1/16/09 18:36;Product1;1174;Visa;Elizabeth;Wollongong;New South Wales;Australia;11/01/2008 16:32;1/21/09 1:49
1/20/09 8:10;Product1;1321;Amex;Cathy;Brooklyn;NY;United States;08/05/2007 18:52;1/21/09 5:16
01/06/2009 12:45;Product2;1942;Amex;Kaylee;Penngrove;CA;United States;01/05/2009 14:06;1/21/09 11:18
01/10/2009 08:13;Product1;1238;Visa;suzanne;Lemont;IL;United States;01/09/2009 19:15;1/21/09 11:35
01/07/2009 14:15;Product1;1277;Mastercard;Cassandra;San Carlos;CA;United States;01/05/2009 15:42;1/21/09 12:00
01/08/2009 15:27;Product1;1206;Mastercard;Jennifer;Chicago;IL;United States;01/04/2009 22:22;1/21/09 13:28
1/21/09 11:36;Product1;1345;Visa;nicole;Oslo;Oslo;Norway;12/23/08 12:02;1/21/09 13:47
1/21/09 14:06;Product1;1146;Visa;Sean;Wantagh;NY;United States;1/21/09 12:00;1/21/09 14:06
01/02/2009 02:28;Product1;1302;Mastercard;Morgan;Coomera;Queensland;Australia;05/03/2008 04:14;1/21/09 16:37
1/19/09 19:07;Product1;1269;Diners;Harriet;Fort Oglethorpe;GA;United States;1/19/09 16:52;1/21/09 17:02
1/18/09 6:27;Product1;1115;Mastercard;Janine;Corbin City;NJ;United States;10/27/05 19:22;1/21/09 17:10
1/20/09 11:58;Product1;1197;Mastercard;Debora;Lakeside;CA;United States;11/01/2008 23:14;1/21/09 17:25
1/20/09 16:32;Product1;1346;Visa;Vishpala;Margate;FL;United States;01/02/2008 09:52;1/21/09 19:05
01/01/2009 07:09;Product1;1146;Amex;Emer;South Palm Beach;FL;United States;2/28/05 5:40;1/21/09 19:14
1/21/09 14:55;Product1;1265;Diners;john;New York;NY;United States;1/21/09 10:23;1/21/09 20:34
01/07/2009 22:29;Product1;1382;Mastercard;lailani;Anchorage;AK;United States;01/07/2009 13:23;1/21/09 22:30
